Date,Exercise Calories
1/9/13,0
1/8/13,808
1/7/13,459
1/6/13,113
1/5/13,1569
1/4/13,622
1/3/13,831
1/2/13,125
1/1/13,542
12/31/12,793
12/30/12,232
12/29/12,1314
12/28/12,344
12/27/12,565
12/26/12,684
12/25/12,436
12/24/12,165
12/23/12,458
12/22/12,657
12/21/12,1400
12/20/12,759
12/19/12,951
12/18/12,988
12/17/12,543
12/16/12,585
12/15/12,987
12/14/12,287
12/13/12,153
12/12/12,530
12/11/12,202
12/10/12,787
12/9/12,303
12/8/12,1363
12/7/12,1054
12/6/12,927
12/5/12,748
12/4/12,597
12/3/12,171
12/2/12,199.533
12/1/12,1311
11/30/12,528
11/29/12,0
11/28/12,0
11/27/12,751
11/26/12,523
11/25/12,0
11/24/12,0
11/23/12,0
11/22/12,0
11/21/12,0
11/20/12,0
11/19/12,0
11/18/12,0
11/17/12,0
11/16/12,0
11/15/12,0
11/14/12,0
11/13/12,0
11/12/12,0
11/11/12,0
11/10/12,0
11/9/12,0
11/8/12,0
11/7/12,0
11/6/12,0
11/5/12,0
11/4/12,0
11/3/12,0
11/2/12,0
11/1/12,0
10/31/12,0
10/30/12,0
10/29/12,0
10/28/12,0
10/27/12,0
10/26/12,0
10/25/12,0
10/24/12,0
10/23/12,0
10/22/12,0
10/21/12,0
10/20/12,0
10/19/12,0
10/18/12,0
10/17/12,0
10/16/12,0
10/15/12,0
10/14/12,0
10/13/12,0
10/12/12,0
10/11/12,0
10/10/12,0
10/9/12,0
10/8/12,0
10/7/12,0
10/6/12,0
10/5/12,0
10/4/12,0
10/3/12,0
10/2/12,0
10/1/12,0
9/30/12,0
9/29/12,0
9/28/12,0
9/27/12,0
9/26/12,0
9/25/12,0
9/24/12,0
9/23/12,0
9/22/12,0
9/21/12,0
9/20/12,0
9/19/12,0
9/18/12,0
9/17/12,0
9/16/12,0
9/15/12,0
9/14/12,0
9/13/12,0
9/12/12,0
9/11/12,0
9/10/12,0
9/9/12,0
9/8/12,0
9/7/12,0
9/6/12,0
9/5/12,0
9/4/12,0
9/3/12,0
9/2/12,0
9/1/12,0
8/31/12,0
8/30/12,0
8/29/12,0
8/28/12,0
8/27/12,0
8/26/12,0
8/25/12,0
8/24/12,0
8/23/12,0
8/22/12,0
8/21/12,0
8/20/12,0
8/19/12,0
8/18/12,0
8/17/12,0
8/16/12,0
8/15/12,0
8/14/12,0
8/13/12,0
8/12/12,0
8/11/12,0
8/10/12,0
8/9/12,0
8/8/12,0
8/7/12,0
8/6/12,0
8/5/12,0
8/4/12,0
8/3/12,0
8/2/12,0
8/1/12,0
7/31/12,0
7/30/12,0
7/29/12,0
7/28/12,0
7/27/12,0
7/26/12,0
7/25/12,0
7/24/12,0
7/23/12,0
7/22/12,0
7/21/12,0
7/20/12,0
7/19/12,0
7/18/12,0
7/17/12,0
7/16/12,0
7/15/12,0
7/14/12,0
7/13/12,0
7/12/12,0
7/11/12,0
7/10/12,0
7/9/12,0
7/8/12,0
7/7/12,0
7/6/12,0
7/5/12,0
7/4/12,0
7/3/12,0
7/2/12,0
7/1/12,0
6/30/12,0
6/29/12,0
6/28/12,0
6/27/12,0
6/26/12,0
6/25/12,0
6/24/12,0
6/23/12,0
6/22/12,0
6/21/12,0
6/20/12,0
6/19/12,0
6/18/12,0
6/17/12,0
6/16/12,0
6/15/12,0
6/14/12,0
6/13/12,0
6/12/12,0
6/11/12,0
6/10/12,0
6/9/12,0
6/8/12,0
6/7/12,0
6/6/12,0
6/5/12,0
6/4/12,0
6/3/12,0
6/2/12,0
6/1/12,0
5/31/12,0
5/30/12,0
5/29/12,0
5/28/12,0
5/27/12,0
5/26/12,0
5/25/12,0
5/24/12,0
5/23/12,0
5/22/12,0
5/21/12,0
5/20/12,0
5/19/12,0
5/18/12,0
5/17/12,0
5/16/12,0
5/15/12,0
5/14/12,0
5/13/12,0
5/12/12,0
5/11/12,0
5/10/12,0
5/9/12,0
5/8/12,0
5/7/12,0
5/6/12,0
5/5/12,0
5/4/12,0
5/3/12,0
5/2/12,0
5/1/12,0
4/30/12,0
4/29/12,0
4/28/12,0
4/27/12,0
4/26/12,0
4/25/12,0
4/24/12,0
4/23/12,0
4/22/12,0
4/21/12,0
4/20/12,0
4/19/12,0
4/18/12,0
4/17/12,0
4/16/12,0
4/15/12,0
4/14/12,0
4/13/12,0
4/12/12,0
4/11/12,0
4/10/12,0
4/9/12,0
4/8/12,0
4/7/12,0
4/6/12,0
4/5/12,0
4/4/12,0
4/3/12,0
4/2/12,0
4/1/12,0
3/31/12,0
3/30/12,0
3/29/12,0
3/28/12,0
3/27/12,0
3/26/12,0
3/25/12,0
3/24/12,0
3/23/12,0
3/22/12,0
3/21/12,0
3/20/12,0
3/19/12,0
3/18/12,0
3/17/12,0
3/16/12,0
3/15/12,0
3/14/12,0
3/13/12,0
3/12/12,0
3/11/12,0
3/10/12,0
3/9/12,0
3/8/12,0
3/7/12,0
3/6/12,0
3/5/12,0
3/4/12,0
3/3/12,0
3/2/12,0
3/1/12,0
2/29/12,0
2/28/12,0
2/27/12,0
2/26/12,0
2/25/12,0
2/24/12,0
2/23/12,0
2/22/12,0
2/21/12,0
2/20/12,0
2/19/12,0
2/18/12,0
2/17/12,0
2/16/12,0
2/15/12,0
2/14/12,0
2/13/12,0
2/12/12,0
2/11/12,0
2/10/12,0
2/9/12,0
2/8/12,0
2/7/12,0
2/6/12,0
2/5/12,0
2/4/12,0
2/3/12,0
2/2/12,0
2/1/12,523
1/31/12,0
1/30/12,0
1/29/12,0
1/28/12,0
1/27/12,0
1/26/12,523
1/25/12,0
1/24/12,523
1/23/12,0
1/22/12,0
1/21/12,0
1/20/12,0
1/19/12,0
1/18/12,0
1/17/12,0
1/16/12,0
1/15/12,0
1/14/12,0
1/13/12,0
1/12/12,0
1/11/12,0
1/10/12,0
1/9/12,0
1/8/12,0
1/7/12,0
1/6/12,0
1/5/12,0
1/4/12,0
1/3/12,0
1/2/12,0
1/1/12,0
12/31/11,0
12/30/11,0
12/29/11,0
12/28/11,0
12/27/11,0
12/26/11,0
12/25/11,0
12/24/11,0
12/23/11,0
12/22/11,0
12/21/11,0
12/20/11,0
12/19/11,0
12/18/11,0
12/17/11,0
12/16/11,0
12/15/11,0
12/14/11,0
12/13/11,0
12/12/11,0
12/11/11,0
12/10/11,0
12/9/11,0
12/8/11,0
12/7/11,0
12/6/11,0
12/5/11,0
12/4/11,0
12/3/11,0
12/2/11,0
12/1/11,0
11/30/11,0
11/29/11,0
11/28/11,0
11/27/11,0
11/26/11,0
11/25/11,0
11/24/11,0
