Date,Over/Under Calories
1/9/13,1694.9
1/8/13,1015.01
1/7/13,1014.93
1/6/13,-201.04
1/5/13,68.25
1/4/13,1116.76
1/3/13,960.81
1/2/13,503.21
1/1/13,-884.75
12/31/12,-947.78
12/30/12,-1887.54
12/29/12,106.84
12/28/12,-418.54
12/27/12,-769.66
12/26/12,-97.95
12/25/12,215.3
12/24/12,-1084.02
12/23/12,-1118.7
12/22/12,-754.5
12/21/12,-439.19
12/20/12,788.81
12/19/12,960.41
12/18/12,1059.9
12/17/12,837.44
12/16/12,-724.46
12/15/12,-139.25
12/14/12,271.35
12/13/12,708.72
12/12/12,-577.85
12/11/12,-1117.13
12/10/12,559.66
12/9/12,-203.53
12/8/12,1634.52
12/7/12,-45.67
12/6/12,900.92
12/5/12,871.06
12/4/12,701.52
12/3/12,268.63
12/2/12,-1486.467
12/1/12,232.81
11/30/12,-1037.98
11/29/12,519.72
11/28/12,-39.28
11/27/12,464.4
11/26/12,742.86
11/25/12,2115.86
11/24/12,2115.86
11/23/12,2115.86
11/22/12,2099.43
11/21/12,2123.75
11/20/12,2107.98
11/19/12,2112.58
11/18/12,2118.49
11/17/12,2123.75
11/16/12,2104.69
11/15/12,2109.95
11/14/12,2117.18
11/13/12,2117.18
11/12/12,2114.55
11/11/12,2109.95
11/10/12,2109.95
11/9/12,2105.35
11/8/12,2113.23
11/7/12,2097.46
11/6/12,2126.37
11/5/12,2138.11
11/4/12,2105.25
11/3/12,2121.02
11/2/12,2132.85
11/1/12,2114.45
10/31/12,2123
10/30/12,2142.71
10/29/12,2124.31
10/28/12,2135.48
10/27/12,2100.66
10/26/12,2104.6
10/25/12,2114.45
10/24/12,2128.91
10/23/12,2123.65
10/22/12,2157.82
10/21/12,2101.31
10/20/12,2101.31
10/19/12,2101.31
10/18/12,2099.34
10/17/12,2110.51
10/16/12,2138.11
10/15/12,2144.02
10/14/12,2086.86
10/13/12,2086.86
10/12/12,2087.51
10/11/12,2088.17
10/10/12,2096.71
10/9/12,2096.71
10/8/12,2096.71
10/7/12,2096.71
10/6/12,2096.71
10/5/12,2096.71
10/4/12,2096.71
10/3/12,2096.71
10/2/12,2096.71
10/1/12,2096.71
9/30/12,2096.71
9/29/12,2096.71
9/28/12,2096.71
9/27/12,2096.71
9/26/12,2096.71
9/25/12,2096.71
9/24/12,2096.71
9/23/12,2096.71
9/22/12,2096.71
9/21/12,2096.71
9/20/12,2096.71
