Date,Weight,Trend,Body Fat,,Mark2,Mark3,Mark4,Note
6/26/09,276.4,276.4,0,0,0,0,0,
6/27/09,273,276.1,0,0,0,0,0,
6/28/09,275,276,0,0,0,0,0,
6/29/09,276.2,276,0,0,0,0,0,
6/30/09,274,275.8,0,1,0,0,0,
7/1/09,272,275.4,0,1,0,0,0,
7/2/09,270,274.9,0,1,0,0,0,
7/3/09,269.6,274.3,0,0,0,0,0,
7/4/09,269.6,273.9,0,1,0,0,0,
7/5/09,269.6,273.4,0,1,0,0,0,
7/6/09,269.4,273,0,1,0,0,0,
7/7/09,269.4,272.7,0,1,0,0,0,
7/8/09,269.4,272.3,0,1,0,0,0,
7/9/09,269.2,272,0,1,0,0,0,
7/10/09,269.2,271.7,52.1,1,0,0,0,52.1% fat
7/11/09,267.6,271.3,0,0,0,0,0,
7/12/09,267.8,271,0,0,0,0,0,
7/13/09,269.2,270.8,0,0,0,0,0,"waist 51"""
7/14/09,268.2,270.5,0,1,0,0,0,
7/15/09,269.8,270.5,51.1,1,0,0,0,51.1% fat
7/16/09,266.4,270.1,0,0,0,0,0,
7/17/09,265,269.6,49.9,0,0,0,0,body fat 49.9%
7/18/09,266,269.2,0,0,0,0,0,"waist 50.5"""
7/19/09,265,268.8,0,0,0,0,0,
7/20/09,265,268.4,0,0,0,0,0,RHR = 60 bpm
7/21/09,265.6,268.1,49.3,1,0,0,0,49.3% body fat
7/22/09,264.6,267.8,0,1,0,0,0,
7/23/09,262.4,267.2,0,1,0,0,0,"49.5"""
7/24/09,262.4,266.7,0,1,0,0,0,
7/25/09,262,266.3,0,0,0,0,0,
7/26/09,262.2,265.9,0,0,0,0,0,
7/27/09,261,265.4,0,0,0,0,0,
7/28/09,262.4,265.1,0,1,0,0,0,
7/29/09,261.4,264.7,48.3,1,0,0,0,RHR 60 body fat 48.3%
7/30/09,260.8,264.3,0,1,0,0,0,
7/31/09,259,263.8,48.3,1,0,0,0,"body fat 48.3%. waist 49.5"""
8/1/09,257.2,263.1,0,0,0,0,0,
8/2/09,258.2,262.6,0,0,0,0,0,
8/4/09,259,262.3,49.1,1,0,0,0,49.10%
8/5/09,259.8,262,0,1,0,0,0,
8/6/09,258.4,261.7,0,1,0,0,0,
8/7/09,258.4,261.3,48.1,1,0,0,0,"48.1%. 49.5"""
8/8/09,258,261,0,1,0,0,0,
8/9/09,257.4,260.6,0,1,0,0,0,
8/10/09,257,260.3,0,1,0,0,0,
8/11/09,256.4,259.9,0,1,0,0,0,
8/12/09,255.8,259.5,0,1,0,0,0,
8/13/09,255.2,259.1,0,0,0,0,0,
8/14/09,255.6,258.7,0,0,0,0,0,
8/17/09,254.6,258.3,0,1,0,0,0,
8/18/09,257,258.2,0,1,0,0,0,
8/19/09,255.8,257.9,0,1,0,0,0,
8/20/09,252.4,257.4,47.5,1,0,0,0,"47.5% 49"""
8/21/09,251,256.7,0,0,0,0,0,
8/22/09,250.8,256.1,0,0,0,0,0,
8/23/09,253.8,255.9,0,0,0,0,0,
8/24/09,254.8,255.8,0,0,0,0,0,
8/25/09,253,255.5,0,1,0,0,0,
8/26/09,252.2,255.2,0,1,0,0,0,
8/27/09,248.2,254.5,0,1,0,0,0,
8/28/09,250.6,254.1,45.8,1,0,0,0,"45.8% 49"""
8/31/09,253.8,254.1,0,0,0,0,0,
9/1/09,252,253.9,0,1,0,0,0,
9/2/09,250.6,253.5,0,1,0,0,0,
9/3/09,250.6,253.2,0,1,0,0,0,
9/4/09,249.6,252.9,44.8,1,0,0,0,"had to estimate cuz of food. 44.8%. 48.5"""
9/8/09,250,252.6,0,1,0,0,0,
9/9/09,251,252.4,0,1,0,0,0,
9/10/09,250.6,252.2,0,1,0,0,0,
9/11/09,247.6,251.8,45.1,1,0,0,0,"45.1% 48"" "
9/12/09,247.2,251.3,0,0,0,0,0,
9/13/09,249.4,251.1,0,0,0,0,0,
9/14/09,250.2,251,0,0,0,0,0,
9/15/09,248,250.7,0,0,0,0,0,
9/16/09,249.2,250.6,0,1,0,0,0,
9/17/09,246.4,250.2,44.7,1,0,0,0,"44.7% 48"""
9/21/09,255.8,250.7,0,1,0,0,0,
9/22/09,253.8,251,0,1,0,0,0,
9/23/09,248.2,250.8,0,1,0,0,0,
9/24/09,246.6,250.3,0,1,0,0,0,
9/25/09,244.4,249.7,45.6,1,0,0,0,"45.6% 48"" "
9/26/09,241.4,248.9,0,0,0,0,0,
9/27/09,244.8,248.5,0,0,0,0,0,
9/28/09,248.6,248.5,0,0,0,0,0,
9/29/09,245,248.2,0,1,0,0,0,
9/30/09,243.8,247.7,0,1,0,0,0,
10/1/09,242,247.1,45.1,1,0,0,0,"45.1% 47.5"" "
10/3/09,244,246.8,0,0,0,0,0,
10/4/09,247.4,246.9,0,0,0,0,0,
10/5/09,247,246.9,0,0,0,0,0,
10/6/09,246.2,246.8,0,1,0,0,0,
10/7/09,244,246.5,0,1,0,0,0,
10/8/09,243,246.2,0,1,0,0,0,
10/9/09,241.6,245.7,43.8,1,0,0,0,"43.8% 47"" "
10/10/09,239.2,245.1,0,0,0,0,0,
10/11/09,239.4,244.5,0,0,0,0,0,
10/12/09,243.6,244.4,0,0,0,0,0,
10/13/09,244.2,244.4,0,1,0,0,0,
10/14/09,242,244.2,0,1,0,0,0,
10/15/09,240.6,243.8,0,1,0,0,0,
10/16/09,239.4,243.4,44,1,0,0,0,"44% 47"""
10/17/09,240.8,243.1,0,0,0,0,0,
10/18/09,241.8,243,0,0,0,0,0,
10/19/09,243.4,243,0,1,0,0,0,
10/20/09,244,243.1,0,1,0,0,0,
10/21/09,241.8,243,0,1,0,0,0,
10/22/09,239,242.6,0,1,0,0,0,
10/23/09,238.4,242.2,43.6,1,0,0,0,"43.6% 47"""
10/24/09,238,241.8,0,0,0,0,0,
